first_name,last_name,email,phone,address,city,state,zip,lead_source,status,notes
James,Walker,jwalker@gmail.com,804-555-0192,4821 Maple Ave,Richmond,VA,23220,Zillow,New,"Interested in 3br"
james,walker,jwalker@gmail.com,(804) 555-0192,4821 Maple Ave,Richmond,VA,23220,Zillow,new,"follow up"
SARAH,JOHNSON,sarah.j@hotmail.com,8045550847,112 Oak Street,richmond,va,23221,Referral,Contacted,""
Maria,Garcia,m.garcia@yahoo.com,804.555.1203,789 Pine Rd Apt 4B,RICHMOND,Virginia,23222,Website,New,"Wants 4br budget 400k"
Tom,,tsmith@,5550293,,Petersburg,VA,,Cold Call,New,""
David,Chen,dchen@outlook.com,804-555-3847,33 Elm Street,Chester,VA,23831,Zillow,New,""
david,chen,dchen@outlook.com,804-555-3847,33 Elm Street,Chester,VA,23831,Zillow,new,""
Patricia,Williams,pwilliams@gmail.com,804 555 9021,2200 Boulevard,Richmond,VA,23220,Referral,Contacted,"Preapproved 320k"
Robert,Brown,rbrown@comcast.net,,901 Forest Hill Ave,Richmond,Virginia,23225,Zillow,New,"Investor - multiple props"
Linda,Martinez,linda.m@gmail.com,8045557734,4400 Cary Street Rd,Richmond,VA,23221,Website,New,""
Kevin,Thompson,kthompson@hotmail.com,804-555-2918,556 W Franklin St,Richmond,VA,23220,Cold Call,New,""
Kevin,Thompson,kthompson@hotmail.com,804-555-2918,556 W Franklin St,Richmond,VA,23220,Cold Call,New,""
Ashley,Davis,,804-555-6612,87 Laburnum Ave,Richmond,VA,23222,Referral,Contacted,"Seller lead"
Michael,Wilson,mwilson@gmail.com,8045550011,1902 Hanover Ave,Richmond,Va,23220,Zillow,New,""
Jennifer,Moore,jmoore@gmail.com,804-555-4477,,Midlothian,VA,23113,Website,New,"First time buyer"
Carlos,Hernandez,c.hernandez@outlook.com,(804)5553920,5512 Hull Street Rd,richmond,VA,23224,Zillow,New,""
Nancy,Taylor,ntaylor@,804-555-8844,300 Libbie Ave,Richmond,VA,23226,Referral,Contacted,""
Steven,Anderson,sanderson@gmail.com,804-555-1155,7701 Forest Hill Ave,Richmond,VA,23225,Cold Call,Contacted,""
BETTY,THOMAS,bthomas@yahoo.com,8045556789,421 N Boulevard,RICHMOND,VA,23220,Website,New,""
Daniel,Jackson,djackson@gmail.com,804-555-3300,,"Henrico",VA,,Zillow,New,"Needs quick close"
